name1,type1,price2,balanceGamma,balanceDelta,balanceTheta,balanceVega
option2,Call,9.9994,0,0,0,0
option3,Call,95.3489,33.95454545454545,6.013477088948787,4.1939679336248465,1.5740740740740742
option4,Call,4.9986,373.5,5.892762810353935,72.35203094777563,0
option5,Call,249.9775,0,0,0,0
option6,Put,1.2373,0,0,0,14.16666666666667
option7,Put,10.5024,3.1518987341772156,-266.86602870813397,-319.70940170940173,7.7272727272727275
option8,Put,0.3072,28.730769230769234,-371.8333333333333,-61.72607260726073,0
option9,Put,0.0003,0,0,0,0
option10,Put,3.667,0,0,0,0
Option11,Call,8.5223,747.0,-18591.666666666668,-1870.3000000000002,7.7272727272727275
