name,type,bPrice,gamma1,delta1,theta1,vega1
option1,Call,19.999999990113306,0.0,0.9467,0.2075,0.0
option2,Call,9.999319597762812,0.0,0.9467,0.1036,0.0
option3,Call,95.33684597324361,0.0022,0.9275,0.8919,0.0054
option4,Call,4.9984226182915155,0.0002,0.9465,0.0517,0.0
option5,Call,249.9755714619237,0.0,0.9466,2.5324,0.0
option6,Put,1.2358734406429828,0.0237,-0.0209,-0.0117,0.0006
option7,Put,10.49870045368096,0.0026,-0.015,-0.0606,0.0011
option8,Put,0.3011377750287068,0.0,-0.0005,-0.0095,0.0003
option9,Put,0.00021819843136628843,0.0,-0.0,-0.0,0.0
option10,Put,3.6650443461067694,0.0001,-0.0003,-0.002,0.0
Option11,Call,8.51684037478185,0.0459,0.9002,0.0373,0.0011
